seed,held_out_region,method,support_size,alpha
0,Southern Seaboard,ridge_support_only,8,56.23413251903491
0,Southern Seaboard,ridge_refit,8,1.7782794100389228
0,Southern Seaboard,ridge_support_only,16,31.622776601683793
0,Southern Seaboard,ridge_refit,16,1.7782794100389228
0,Southern Seaboard,ridge_support_only,32,10.0
0,Southern Seaboard,ridge_refit,32,1.7782794100389228
0,Southern Seaboard,ridge_support_only,64,31.622776601683793
0,Southern Seaboard,ridge_refit,64,1.7782794100389228
0,Northern Crescent,ridge_support_only,8,10000.0
0,Northern Crescent,ridge_refit,8,3.1622776601683795
0,Northern Crescent,ridge_support_only,16,3.1622776601683795
0,Northern Crescent,ridge_refit,16,3.1622776601683795
0,Northern Crescent,ridge_support_only,32,3.1622776601683795
0,Northern Crescent,ridge_refit,32,3.1622776601683795
0,Northern Crescent,ridge_support_only,64,5.623413251903491
0,Northern Crescent,ridge_refit,64,3.1622776601683795
0,Heartland,ridge_support_only,8,0.5623413251903491
0,Heartland,ridge_refit,8,1.7782794100389228
0,Heartland,ridge_support_only,16,0.5623413251903491
0,Heartland,ridge_refit,16,1.7782794100389228
0,Heartland,ridge_support_only,32,0.1
0,Heartland,ridge_refit,32,1.7782794100389228
0,Heartland,ridge_support_only,64,0.05623413251903491
0,Heartland,ridge_refit,64,1.7782794100389228
0,Northern Great Plains,ridge_support_only,8,3.1622776601683795
0,Northern Great Plains,ridge_refit,8,1.7782794100389228
0,Northern Great Plains,ridge_support_only,16,10000.0
0,Northern Great Plains,ridge_refit,16,1.7782794100389228
0,Northern Great Plains,ridge_support_only,32,100.0
0,Northern Great Plains,ridge_refit,32,3.1622776601683795
0,Northern Great Plains,ridge_support_only,64,100.0
0,Northern Great Plains,ridge_refit,64,3.1622776601683795
0,Prairie Gateway,ridge_support_only,8,3.1622776601683795
0,Prairie Gateway,ridge_refit,8,5.623413251903491
0,Prairie Gateway,ridge_support_only,16,1.7782794100389228
0,Prairie Gateway,ridge_refit,16,5.623413251903491
0,Prairie Gateway,ridge_support_only,32,1.7782794100389228
0,Prairie Gateway,ridge_refit,32,5.623413251903491
0,Prairie Gateway,ridge_support_only,64,1.0
0,Prairie Gateway,ridge_refit,64,5.623413251903491
0,Basin and Range,ridge_support_only,8,0.05623413251903491
0,Basin and Range,ridge_refit,8,3.1622776601683795
0,Basin and Range,ridge_support_only,16,1.0
0,Basin and Range,ridge_refit,16,3.1622776601683795
0,Basin and Range,ridge_support_only,32,5.623413251903491
0,Basin and Range,ridge_refit,32,1.7782794100389228
0,Basin and Range,ridge_support_only,64,31.622776601683793
0,Basin and Range,ridge_refit,64,1.7782794100389228
1,Southern Seaboard,ridge_support_only,8,5.623413251903491
1,Southern Seaboard,ridge_refit,8,1.7782794100389228
1,Southern Seaboard,ridge_support_only,16,17.78279410038923
1,Southern Seaboard,ridge_refit,16,1.7782794100389228
1,Southern Seaboard,ridge_support_only,32,31.622776601683793
1,Southern Seaboard,ridge_refit,32,1.7782794100389228
1,Southern Seaboard,ridge_support_only,64,56.23413251903491
1,Southern Seaboard,ridge_refit,64,1.7782794100389228
1,Northern Crescent,ridge_support_only,8,0.05623413251903491
1,Northern Crescent,ridge_refit,8,3.1622776601683795
1,Northern Crescent,ridge_support_only,16,3.1622776601683795
1,Northern Crescent,ridge_refit,16,3.1622776601683795
1,Northern Crescent,ridge_support_only,32,3.1622776601683795
1,Northern Crescent,ridge_refit,32,3.1622776601683795
1,Northern Crescent,ridge_support_only,64,10.0
1,Northern Crescent,ridge_refit,64,3.1622776601683795
1,Heartland,ridge_support_only,8,10000.0
1,Heartland,ridge_refit,8,1.7782794100389228
1,Heartland,ridge_support_only,16,0.1
1,Heartland,ridge_refit,16,1.7782794100389228
1,Heartland,ridge_support_only,32,1.7782794100389228
1,Heartland,ridge_refit,32,1.7782794100389228
1,Heartland,ridge_support_only,64,0.05623413251903491
1,Heartland,ridge_refit,64,1.7782794100389228
1,Northern Great Plains,ridge_support_only,8,10000.0
1,Northern Great Plains,ridge_refit,8,1.7782794100389228
1,Northern Great Plains,ridge_support_only,16,10000.0
1,Northern Great Plains,ridge_refit,16,1.7782794100389228
1,Northern Great Plains,ridge_support_only,32,10000.0
1,Northern Great Plains,ridge_refit,32,1.7782794100389228
1,Northern Great Plains,ridge_support_only,64,177.82794100389228
1,Northern Great Plains,ridge_refit,64,1.7782794100389228
1,Prairie Gateway,ridge_support_only,8,5.623413251903491
1,Prairie Gateway,ridge_refit,8,5.623413251903491
1,Prairie Gateway,ridge_support_only,16,0.01778279410038923
1,Prairie Gateway,ridge_refit,16,5.623413251903491
1,Prairie Gateway,ridge_support_only,32,0.01
1,Prairie Gateway,ridge_refit,32,5.623413251903491
1,Prairie Gateway,ridge_support_only,64,0.1778279410038923
1,Prairie Gateway,ridge_refit,64,5.623413251903491
1,Basin and Range,ridge_support_only,8,177.82794100389228
1,Basin and Range,ridge_refit,8,5.623413251903491
1,Basin and Range,ridge_support_only,16,10000.0
1,Basin and Range,ridge_refit,16,3.1622776601683795
1,Basin and Range,ridge_support_only,32,177.82794100389228
1,Basin and Range,ridge_refit,32,5.623413251903491
1,Basin and Range,ridge_support_only,64,31.622776601683793
1,Basin and Range,ridge_refit,64,3.1622776601683795
2,Southern Seaboard,ridge_support_only,8,10000.0
2,Southern Seaboard,ridge_refit,8,1.7782794100389228
2,Southern Seaboard,ridge_support_only,16,10000.0
2,Southern Seaboard,ridge_refit,16,1.7782794100389228
2,Southern Seaboard,ridge_support_only,32,56.23413251903491
2,Southern Seaboard,ridge_refit,32,1.7782794100389228
2,Southern Seaboard,ridge_support_only,64,1778.2794100389228
2,Southern Seaboard,ridge_refit,64,1.7782794100389228
2,Northern Crescent,ridge_support_only,8,1.7782794100389228
2,Northern Crescent,ridge_refit,8,3.1622776601683795
2,Northern Crescent,ridge_support_only,16,1.7782794100389228
2,Northern Crescent,ridge_refit,16,3.1622776601683795
2,Northern Crescent,ridge_support_only,32,5.623413251903491
2,Northern Crescent,ridge_refit,32,3.1622776601683795
2,Northern Crescent,ridge_support_only,64,10.0
2,Northern Crescent,ridge_refit,64,3.1622776601683795
2,Heartland,ridge_support_only,8,17.78279410038923
2,Heartland,ridge_refit,8,1.7782794100389228
2,Heartland,ridge_support_only,16,1.7782794100389228
2,Heartland,ridge_refit,16,1.7782794100389228
2,Heartland,ridge_support_only,32,5.623413251903491
